label_hyperonyme,relation,label_hyponyme
art,hyponyme,portrait as topic
behavior therapy,hyponyme,anger management therapy
occupational disease,hyponyme,occupational stress
penicillanic acid,hyponyme,tazobactam
personality assessment,hyponyme,q - sort
slc4a protein,hyponyme,sodium - bicarbonate symporter
phenylurea compounds,hyponyme,carbanilides
mouth,hyponyme,mouth floor
photosensitivity disorder,hyponyme,xeroderma pigmentosum
solanaceae,hyponyme,scopolia
asteraceae,hyponyme,haplopappus
equipment failure,hyponyme,equipment failure analysis
journalism,hyponyme,journalism medical
adrenergic alpha - antagonist,hyponyme,adrenergic alpha-1 receptor antagonist
cell surface extension,hyponyme,pili sex
foot joint,hyponyme,toe joint
cestoda,hyponyme,diphyllobothrium
metabolism inborn error,hyponyme,peroxisomal disorder
city,hyponyme,philadelphia
enzyme,hyponyme,oxidoreductase
dental health survey,hyponyme,index of orthodontic treatment need
education,hyponyme,educational measurement
nitro compound,hyponyme,nitroglycerin
tissue preservation,hyponyme,tissue embedding
chemistry,hyponyme,chemistry agricultural
publication,hyponyme,pamphlet
oligopeptide,hyponyme,ceruletide
thiazole,hyponyme,fanft
cell separation,hyponyme,leukocyte reduction procedure
gene component,hyponyme,5 ' flank region
neurologic examination,hyponyme,abnormal involuntary movement scale
genetic disease inborn,hyponyme,alagille syndrome
alkylmercury compounds,hyponyme,ethylmercury compound
statistic as topic,hyponyme,model statistical
mitosporic fungi,hyponyme,trichoderma
proteoglycans,hyponyme,small leucine - rich proteoglycan
lactation,hyponyme,milk ejection
theileria,hyponyme,theileria annulata
brassicaceae,hyponyme,nasturtium
receptor neurotransmitter,hyponyme,receptor serotonin
carbohydrate metabolism,hyponyme,glycosylation
spine,hyponyme,cervical vertebrae
oncogene protein fusion,hyponyme,oncogene protein tpr - meet
cerebral infarction,hyponyme,infarction middle cerebral artery
gram - negative bacterial infection,hyponyme,cat - scratch disease
tissue transplantation,hyponyme,bone marrow transplantation
polyamine,hyponyme,diamines
granulocyte,hyponyme,basophil
basidiomycota,hyponyme,agaricale
endocrine surgical procedure,hyponyme,pinealectomy
leptospirosis,hyponyme,weil disease
organization and administration,hyponyme,ownership
epsilonproteobacteria,hyponyme,campylobacterale
cellular microenvironment,hyponyme,tumor microenvironment
symporter,hyponyme,norepinephrine plasma membrane transport protein
rna viruses,hyponyme,secoviridae
azole,hyponyme,pyrrole
plant physiological phenomenon,hyponyme,parthenogenesis
insurance health,hyponyme,insurance physician service
adaptor protein signal transducing,hyponyme,grb2 adaptor protein
nuclear receptor coactivator,hyponyme,nuclear receptor coactivator 2
publication component,hyponyme,expression of concern
activate transcription factor,hyponyme,activate transcription factor 6
beta - globulin,hyponyme,sex hormone - bind globulin
lysine,hyponyme,hydroxylysine
betacoronavirus,hyponyme,sars virus
pancreatic disease,hyponyme,pancreatic fistula
history 18th century,hyponyme,french revolution
therapeutic,hyponyme,fetal therapy
disorder of sex development,hyponyme,ovotesticular disorder of sex development
demography,hyponyme,residence characteristic
nervous system autoimmune disease experimental,hyponyme,myasthenia gravis autoimmune experimental
garcinia,hyponyme,garcinia kola
disease transmission infectious,hyponyme,infectious disease transmission vertical
diet,hyponyme,diet high - protein
connective tissue cell,hyponyme,synoviocyte
oxime,hyponyme,pralidoxime compound
phosphoramides,hyponyme,hempa
snare protein,hyponyme,r - snare protein
efferent pathway,hyponyme,extrapyramidal tract
person,hyponyme,veteran
chromosome bacterial,hyponyme,chromosome artificial bacterial
digestive system physiological phenomenon,hyponyme,liver regeneration
biliary tract surgical procedure,hyponyme,portoenterostomy hepatic
dna - bind protein,hyponyme,transcription factor ap-2
thymus neoplasm,hyponyme,thymoma
isotonic solution,hyponyme,ringer 's solution
pyrazines,hyponyme,sitagliptin phosphate
epidermal cell,hyponyme,keratinocytes
thiazole,hyponyme,niridazole
periplasmic protein,hyponyme,periplasmic bind protein
drug - relate side effect and adverse reaction,hyponyme,propofol infusion syndrome
tgf - beta superfamily protein,hyponyme,nodal signaling ligand
interleukin,hyponyme,interleukin-5
radioisotopes,hyponyme,strontium radioisotopes
head and neck neoplasm,hyponyme,thyroid neoplasms
optic nerve disease,hyponyme,optic neuritis
planning technique,hyponyme,strategic planning
volunteer,hyponyme,hospital volunteer
gnetophyta,hyponyme,gnetum
malformation of cortical development,hyponyme,malformation of cortical development group i
salivary gland disease,hyponyme,xerostomia
sign and symptom respiratory,hyponyme,hypercapnia
sensation disorder,hyponyme,olfaction disorder
environment,hyponyme,greenhouse effect
carbohydrate metabolism inborn error,hyponyme,pyruvate metabolism inborn error
epilepsies partial,hyponyme,epilepsy complex partial
fatty acids monounsaturate,hyponyme,undecylenic acid
mass screening,hyponyme,neonatal screening
src - family kinase,hyponyme,proto - oncogene protein pp60(c - src )
organic chemical,hyponyme,semicarbazides
cephalopoda,hyponyme,nautilus
toxicology,hyponyme,forensic toxicology
gastrointestinal hormones,hyponyme,motilin
triazole,hyponyme,fluconazole
skin disease parasitic,hyponyme,leishmaniasis
nucleic acid probe,hyponyme,oligonucleotide probe
cell differentiation,hyponyme,neurogenesis
reproductive technique assist,hyponyme,fertility preservation
bacillale,hyponyme,bacillaceae
africa western,hyponyme,guinea
pacific islands,hyponyme,melanesia
antifreeze protein,hyponyme,antifreeze protein type iv
enterostomy,hyponyme,ileostomy
radionuclide angiography,hyponyme,radioisotope renography
anatomy,hyponyme,anatomy veterinary
digestive system fistula,hyponyme,intestinal fistula
lincomycin,hyponyme,clindamycin
diet therapy,hyponyme,diet vegetarian
leptospira interrogans,hyponyme,leptospira interrogans serovar australis
receptor neuropeptide,hyponyme,receptor somatotropin
taeniasis,hyponyme,cysticercosis
hla - b antigen,hyponyme,hla - b40 antigen
transcription factor tfiih,hyponyme,xeroderma pigmentosum group d protein
sensory gating,hyponyme,prepulse inhibition
sodium - potassium - chloride symporter,hyponyme,solute carrier family 12 member 3
antigens neoplasm,hyponyme,prostate - specific antigen
alcohol - relate disorder,hyponyme,alcohol withdrawal delirium
bacterial infection,hyponyme,sexually transmit disease bacterial
social environment,hyponyme,social support
antigens neoplasm,hyponyme,cd24 antigen
laser,hyponyme,laser solid - state
rna cap - bind protein,hyponyme,nuclear cap - bind protein complex
dioxole,hyponyme,trabectedin
vesicular transport protein,hyponyme,caveolins
aspergillus,hyponyme,aspergillus fumigatus
information service,hyponyme,bibliography as topic
gynecologic surgical procedure,hyponyme,sterilization tubal
pongo,hyponyme,pongo pygmaeus
leukemia prolymphocytic,hyponyme,leukemia prolymphocytic t - cell
carbon,hyponyme,diamond
chemical and drug induce liver injury,hyponyme,chemical and drug induce liver injury chronic
bacterial toxin,hyponyme,cholera toxin
spinal cord disease,hyponyme,muscular atrophy spinal
propylene glycol,hyponyme,mephenesin
pyridines,hyponyme,dimethindene
gram - positive rod,hyponyme,gram - positive endospore - form rod
social control formal,hyponyme,legislation drug
genetic engineering,hyponyme,genetic therapy
receptor complement,hyponyme,receptor complement 3d
electric power supply,hyponyme,bioelectric energy source
social behavior,hyponyme,harassment non - sexual
isonipecotic acid,hyponyme,phenoperidine
connective tissue disease,hyponyme,fibromatosis plantar
polymer,hyponyme,hexadimethrine bromide
aneurysm,hyponyme,aneurysm rupture
rhodobacteraceae,hyponyme,paracoccus
public health,hyponyme,drug contamination
salicylate,hyponyme,diflunisal
carcinoma,hyponyme,mammary analogue secretory carcinoma
bacterial toxin,hyponyme,virulence factor bordetella
lipocalin,hyponyme,lipocalin-2
femur head necrosis,hyponyme,legg - calve - perthe disease
intracellular signaling peptide and protein,hyponyme,sap90-psd95 associate protein
hear disorder,hyponyme,tinnitus
quality assurance health care,hyponyme,facility regulation and control
gene transfer technique,hyponyme,biolistic
receptor g - protein - couple,hyponyme,receptors adrenomedullin
academy and institutes,hyponyme,national institutes of health ( u.s . )
heparin low - molecular - weight,hyponyme,tinzaparin
thoracic surgical procedure,hyponyme,thymectomy
cell line tumor,hyponyme,hl-60 cell
asteraceae,hyponyme,geigeria
suppuration,hyponyme,cellulitis
slow virus disease,hyponyme,aleutian mink disease
alcoholic beverage,hyponyme,wine
granulocyte colony - stimulate factor,hyponyme,lenograstim
movement disorder,hyponyme,angelman syndrome
eye disease hereditary,hyponyme,retinal dysplasia
hear loss,hyponyme,hear loss bilateral
benzylammonium compounds,hyponyme,bephenium compound
neoplasms ductal lobular and medullary,hyponyme,carcinoma ductal
behavior and behavior mechanism,hyponyme,human characteristic
raptor,hyponyme,strigiforme
